/node0/timestamp,/node0/temperature,/node0/humidity
1647373966.349478,21.46,0.55
1647373970.5051231,21.45,0.55
1647373975.7173069,21.46,0.54
1647373980.8952026,21.49,0.54
1647373986.0941706,21.47,0.54
1647373991.3057766,21.49,0.54
1647373995.458854,21.5,0.55
1647374000.6707122,21.51,0.55
1647374005.8549266,21.49,0.54
1647374011.0550427,21.5,0.54
1647374016.2719388,21.54,0.54
1647374021.461631,21.53,0.54
1647374025.621983,21.51,0.54
1647374030.8242786,21.5,0.54
1647374036.0139565,21.54,0.54
1647374041.2167687,21.51,0.54
1647374046.4364572,21.54,0.54
1647374050.577924,21.51,0.54
1647374055.79634,21.56,0.54
1647374060.9751709,21.54,0.54
1647374066.1917899,21.56,0.54
1647374071.3788302,21.54,0.54
1647374075.5424268,21.53,0.54
1647374080.742098,21.54,0.54
1647374085.937539,21.51,0.54
1647374091.1433365,21.51,0.54
1647374096.343806,21.54,0.54
1647374101.551429,21.53,0.54
1647374105.703392,21.56,0.54
1647374110.895035,21.57,0.54
1647374116.0954647,21.58,0.54
1647374121.3050392,21.57,0.54
1647374126.5035267,21.56,0.54
1647374130.653569,21.57,0.54
1647374135.8660367,21.58,0.54
1647374141.0587118,21.56,0.54
1647374146.2782,21.58,0.54
1647374151.4768379,21.61,0.54
1647374156.6671064,21.64,0.54
1647374160.8236837,21.61,0.54
1647374166.015141,21.61,0.54
1647374171.226013,21.61,0.54
1647374176.415082,21.6,0.54
1647374181.6254566,21.6,0.54
1647374185.7904117,21.6,0.54
1647374190.9862864,21.61,0.54
1647374196.178056,21.6,0.54
1647374201.3819485,21.6,0.54
1647374206.576336,21.58,0.54
1647374211.7911434,21.56,0.54
1647374215.9436774,21.57,0.54
1647374221.1409883,21.54,0.54
1647374226.3402543,21.53,0.54
1647374231.544654,21.54,0.54
1647374236.7502918,21.54,0.54
1647374240.9051073,21.54,0.54
1647374246.1023185,21.51,0.54
1647374251.2932289,21.5,0.54
1647374256.4973814,21.5,0.54
1647374261.706965,21.49,0.54
1647374266.9168065,21.46,0.54
1647374271.066387,21.47,0.54
1647374276.2709477,21.49,0.54
1647374281.4588828,21.5,0.54
1647374286.6805344,21.51,0.54
1647374291.8624384,21.53,0.54
1647374296.0376003,21.51,0.54
1647374301.222479,21.51,0.54
1647374306.4281647,21.53,0.54
1647374311.6332438,21.51,0.54
1647374316.8242867,21.51,0.54
1647374320.9773166,21.53,0.54
1647374326.19941,21.51,0.54
1647374331.375299,21.53,0.55
1647374336.5856874,21.56,0.54
1647374341.7780585,21.54,0.54
1647374346.9822233,21.53,0.54
1647374351.13517,21.53,0.54
1647374356.336875,21.53,0.54
1647374361.5588481,21.53,0.54
1647374366.7417545,21.51,0.54
1647374371.9355872,21.51,0.54
1647374376.0986989,21.53,0.54
1647374381.2938225,21.54,0.54
1647374386.516788,21.54,0.54
1647374391.6949184,21.54,0.54
1647374396.9027684,21.54,0.54
1647374402.1132233,21.54,0.54
1647374406.2552433,21.54,0.54
1647374411.4637475,21.56,0.54
1647374416.670404,21.56,0.54
1647374421.8566706,21.56,0.54
1647374427.0509486,21.54,0.54
1647374431.2208803,21.53,0.54
